"filename", "language", "JSON", "TypeScript", "Markdown", "TypeScript JSX", "PostCSS", "Firebase Rules", "JavaScript", "log", "comment", "blank", "total"
"e:\web_project2\my-yds\src\lib\firebase\spacedRepetition.ts", "TypeScript", 0, 601, 0, 0, 0, 0, 0, 0, 177, 106, 884
"e:\web_project2\my-yds\src\lib\spacedRepetition.ts", "TypeScript", 0, 273, 0, 0, 0, 0, 0, 0, 129, 53, 455
"e:\web_project2\my-yds\src\styles\config.ts", "TypeScript", 0, -86, 0, 0, 0, 0, 0, 0, -6, -10, -102
"e:\web_project2\my-yds\src\styles\design-tokens.ts", "TypeScript", 0, 326, 0, 0, 0, 0, 0, 0, 23, 24, 373
"e:\web_project2\my-yds\src\styles\globals.css", "PostCSS", 0, 0, 0, 0, 247, 0, 0, 0, 19, 46, 312
"e:\web_project2\my-yds\src\types\spacedRepetition.ts", "TypeScript", 0, 139, 0, 0, 0, 0, 0, 0, 60, 36, 235
"e:\web_project2\my-yds\src\utils\debugHydration.js", "JavaScript", 0, 0, 0, 0, 0, 0, -24, 0, -9, -6, -39
"e:\web_project2\my-yds\src\utils\version.js", "JavaScript", 0, 0, 0, 0, 0, 0, -2, 0, -1, -1, -4
"e:\web_project2\my-yds\tailwind.config.ts", "TypeScript", 0, 44, 0, 0, 0, 0, 0, 0, 2, 0, 46
"Total", "-", 18, 1307, 382, 1170, 253, 53, -295, -36, 438, 469, 3759
