"filename", "language", "JSON", "JavaScript", "JSON with Comments", "TypeScript", "Markdown", "XML", "TypeScript JSX", "HTML", "PostCSS", "Batch", "Firebase Rules", "comment", "blank", "total"
"e:\web_project2\my-yds\src\types\flashcard.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 4, 1, 11
"e:\web_project2\my-yds\src\types\global.d.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"e:\web_project2\my-yds\src\types\quiz.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 1, 9
"e:\web_project2\my-yds\src\types\spacedRepetition.ts", "TypeScript", 0, 0, 0, 139, 0, 0, 0, 0, 0, 0, 0, 60, 36, 235
"e:\web_project2\my-yds\src\utils\buildInfo.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 13
"e:\web_project2\my-yds\src\utils\excelParser.ts", "TypeScript", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 5, 12, 62
"e:\web_project2\my-yds\src\utils\requireAuth.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 1, 9, 44
"e:\web_project2\my-yds\structure.md", "Markdown", 0, 0, 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 1, 79
"e:\web_project2\my-yds\tailwind.config.ts", "TypeScript", 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 2, 2, 65
"e:\web_project2\my-yds\tsconfig.json", "JSON with Comments", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33
"Total", "-", 8683, 238, 33, 5275, 493, 92, 9283, 1, 590, 4, 53, 1161, 1846, 27752
